"Rank","Value Rating","Model","Price (MSRP)","Signature","Comments","Tone Grade","Technical Grade"
"C","","Tralucent 1 Plus 5.2","2380",""Balanced"","Tonally all over the place with a persistent lack of energy and bite in the higher frequencies.","C","B-"
"C","","Empire Ears Wraith","3500","Dark neutral","A Zeus with almost nonexistent treble and clarity.","C","B-"
"C","","Acoustune HS1004","Discont.","Bright V-shape","Probably the most unique-sounding Acoustune in the safest way; slightly warmer with more focused treble.","C","B-"
"C","","Dita Project 71","Discont.","Warm","Too much of a downward tilt; clarity is lost and overall technicalities aren't up to par either.","C","B-"
"C","","Rhapsodio Galaxy","Discont.","V-shaped","Lively and engaging but avoiding fatigue still. Rare combo","C","B-"
"C","","Samsung AKG EO-IG955","10","V-shaped","That freebie you get with Samsung phones. Surprisingly competent and worth keeping.","B-","C"
"C","","Tanchjim Zero","15","Bright neutral","","B-","C"
"C","","FiiO F3","25","U-shaped","Well-balanced U-shaped sound that's rather atypical of a chifi dynamic IEM.","B-","C"
"C","","Final Audio E2000","45","V-shaped","Not too dissimiliar to a GR07, though lacking in that last octave of bass extension.","B-","C"
"C","","Final Audio E3000","55","Warm","A warmer, bassier E2000.","B-","C"
"C","","FiiO F5","65","V-shaped","Typical chifi V-shaped sound, nothing much to report on.","B-","C"
"C","","Shanling MTW200","70","Bright U-shape","","B-","C"
"C","","FiiO FA1","100","Neutral","A pretty standard reference-style tuning that just works.","B-","C"
"C","","Fatfreq Reference","150","Neutral","","B-","C"
"C","","KBEar Aurora","170","V-shaped","","B-","C"
"C","","Final Audio E4000","180","V-shaped","Rather standard sounding, non-offensive and neutral in tone.","B-","C"
"C","","Oriolus Finschi","180","Bright","Energetic and bright, overall a well built hybrid that can be strident for some ears.","B-","C"
"C","","DUNU DN-1000","200","Neutral","Balanced, almost conservative tonality. A bit uncontrolled in the treble but otherwise not bad.","B-","C"
"C","","ThieAudio Elixir","200","Neutral with bass boost","","B-","C"
"C","","Symphonium Aurora","250","Warm neutral","Fair standard warm-neutral tuning, limited by resolution.","B-","C"
"C","","Final Audio E5000","280","Warm","Less treble than the E4000 for a slightly different flavour.","B-","C"
"C","","Eartech Dual Driver","350","Warm","Very pleasant and smoothing tuning bottlenecked by subpar technical ability.","B-","C"
"C","","Sennheiser Momentum True Wireless 2 (High-End Sound Tuning mode)","350","Neutral with bass boost","Big improvement in tonality over the stock MTW2. Treble peaks and unruly bass are tamed.","B-","C"
"C","","AAW A3H Pro V2","370","Warm","Decent technicalities with well controlled bass and treble rolloff.","B-","C"
"C","","AKG N40","400","Variable","A rather typical hybrid tuned to the Harman Target. Nothing special especially for the asking price.","B-","C"
"C","","Shure Aonic 5","450","Neutral","The spiritual successor to the SE535. A slight tonal problem but still equally dead with no extension.","B-","C"
"C","","Noble Savant 2","500","Warm","Decent tonal balance with subpar detail retrieval.","B-","C"
"C","","Noble Sage","600","Warm neutral","Probably the safest tuning in Noble's arsenal. Expectedly limited in sheer technicalities.","B-","C"
"C","","Tralucent 1 Plus 1.2","650","Warm","WARNING: the IEM is not compatible with eartips. Sounds alright, but also an extremely stupid design.","B-","C"
"C","","Audeze LCD-i3 (No Cipher)","900","Dark","Low distortion, high resolution and excellent clarity marred by poor tuning which destroys timbre.","D","S"
"C","","Audeze iSine 10/20 (No Cipher)","400","Unique","Low distortion, high resolution and excellent clarity marred by poor tuning which destroys timbre.","D","S-"
"C","","Empire Ears Zeus-XIV","2730","Bright neutral","Top tier detail and resolution with poor tone and timbre reproduction.","D","S-"
"C","","7Hz Eternal","250","V-shaped","","C-","B"
"C","","Stax SR-002","500",""Balanced"","Somewhat technical as expected of its estat tech, but sounds rather uneven and honky.","C-","B"
"C","","JH Audio JH16v2","1300","Warm V-shape","Shades of a downsloping response regardless of bass setting. Too coloured and too much.","C-","B"
"C","","Lark Studio LSX","1700","Warm V-shape","Pretty weird tonality with no real direction. No specialties but at least isn't completely horrible.","C-","B"
"C","","JH Audio Roxanne 2","2300","Warm V-shape","The usual JH house sound of a downsloping response with a painful treble spike.","C-","B"
"C","","Ambient Acoustics MAD16","2500","Warm V-shape","","C-","B"
"C","","QKZ x HBB","20","Bassy","","B","C-"
"C","","Lear LCM-BD4.2","1030","Bright V-shape","Harsh, overly-textured and extremely fatiguing. Excellent technical ability completely shut down by tuning and timbre mismatch.","D+","B+"
"C","","Kumitate KL-Sanka B","1250","Bright U-shape","Very, very spicy tuning that's not for everyone. Big bass response and sharp, piercing highs.","D+","B+"
"C","","Kumitate KL-Sanka K","1250","Bright U-shape","Very, very spicy tuning that's not for everyone. Big bass response and sharp, piercing highs.","D+","B+"
"C","","JH Roxanne","1745","Warm","Rich and smooth, perfect for male vocals","D+","B+"
"C","","BLON BL05","43","Bright V-shape","A more technical but far less pleasing BL03.","C","C+"
"C","","Tin Audio T2 Pro","50","Bright neutral","A T2 tuned with less sub-bass and more treble. High clarity but may not be for everyone.","C","C+"
"C","","QoA Vesper","70","V-shaped","Pretty much a dead ringer for the Pink Lady.","C","C+"
"C","","Shuoer D13","120","V-shaped","","C","C+"
"C","","QoA Pink Lady","150","V-shaped","Sounds like a slightly warmer and less balanced version of the Adonis.","C","C+"
"C","","Soranik BMT","180","V-shaped","Good sub-bass presence but a bit too intense and forward in the upper mids.","C","C+"
"C","","Klipsch T5 True Wireless","200","Neutral with bass boost","A little nasally with muted upper mids with the usual limitations of a TWS.","C","C+"
"C","","Shanling ME500","270","V-shaped","Generic V-shape tuning with middling technicalities.","C","C+"
"C","","Meccaudio ME20","300","Neutral","Uneven in the upper mids and treble, but otherwise fine.","C","C+"
"C","","Final Audio F4100","350",""Balanced"","Unique ""Final single BA"" sound; coloured mids and one-note treble.","C","C+"
"C","","Simgot EK3","350","Bright neutral","Technically passable if a little spicy up in the treble.","C","C+"
"C","","64 Audio A2e","500","V-shaped","A rather interesting ""V-but-also-not"" signature. Can get a little hot in the treble.","C","C+"
"C","","qdc 3SH","500","Warm","Probably the worst-tuned qdc IEM. Noticeable upper-mid scoop results in lacking bite and energy.","C","C+"
"C","","NocturnaL Avalon","500","Warm V-shape","Too warm, too bloated, treble spike doesn't do enough to balance it all out.","C","C+"
"C","","Final Audio F7200","550",""Balanced"","Unique ""Final single BA"" sound; coloured mids and one-note treble.","C","C+"
"C","","Custom Art FIBAE 2","550","Warm","Slight downsloping response with a generally platable tonality but uneven treble.","C","C+"
"C","","Eartech Quad Driver","600","Warm","Warm and congested presentation. Noticeably coloured and not the most natural.","C","C+"
"C","","Horluchs HL4300","700","Mild V-shape","Nothing much to praise or rag on. Average tonality and technicalities.","C","C+"
"C","","Final Audio Heaven 7","700","Neutral","Unique ""Final single BA"" sound; coloured mids and one-note treble.","C","C+"
"C","","Final Audio B1","750","V-shaped","The most V-shaped of the B-series. Fatiguing, sharp treble and slightly bloated bass.","C","C+"
"C","","FitEar F/A111","780","Warm neutral","A laid-back take on reference with Suyama's FitEar colouration mixed in","C","C+"
"C","","Campfire Jupiter","800",""Balanced"","Great clarity and staging though with odd upper midrange.","C","C+"
"C","","Shozy Black Hole","800","Bright","Seems to go for a neutral tuning with the bass roll-off but ends up with a fatiguing and sharp presentation.","C","C+"
"C","","Kumitate KL-Meteo","850","V-shaped","Very bassy with a lower-mid scoop. A bit of an odd tonal profile all things considered.","C","C+"
"C","","Custom Art FIBAE 4","900","Warm","Warm, bordering on bloat. Could use some extra sharpness in its attack to round it off.","C","C+"
"C","","NocturnaL Eden","950","Neutral","A weird take on neutrality. Limp bass, uneven mids, not very resolving.","C","C+"
"C","","Fatfreq 20.8","950","Warm","","C","C+"
"C","","Kumitate KL-Sanka","1200","Warm V-shape","Kind of a ""nothing IEM"" if I'm honest. Nothing bad nor good to say about it.","C","C+"
"C","","LH Stella","1300","Warm U-shaped","Slightly bloated, odd colouration, not a great hybrid presentation.","C","C+"
"C","","HUM Pristine Reference","1400","Warm","Good detail pickup and generally inoffensive. Much better than the universal.","C","C+"
"C","","AAW Halycon","1450","Variable","A little too sluggish in the bass with fatiguing treble.","C","C+"
"C","","BGVP ES12","1500","Variable","Slightly honky midrange tonality with the usual EST tweeter roll-off.","C","C+"
"C","","FitEar Aya","1650","Warm","Slight warm tilt in tonality with uneven mids.","C","C+"
"C","","1Custom SA02","Discont.",""Balanced"","Odd take on neutral with a coloured tonality.","C","C+"
"C","","Campfire Orion","Discont.","Warm V-shape","Uneven mids and lacking treble extension.","C","C+"
"C","","Final Audio Heaven S","Discont.","Warm V-shape","Unique ""Final single BA"" sound; coloured mids and one-note treble.","C","C+"
"C","","Final Audio LAB 1","Discont.","Warm","Pretty standard tuning that doesn't live up to its build, pricing or prestige.","C","C+"
"C","","Moondrop Quarks","15","Warm V-shape","","C+","C"
"C","","Venture Electronics Bonus In-Ears ""BIE""","20","V-shaped","Generic V-shaped DD with alright midrange tonality and technicalities.","C+","C"
"C","","Tanchjim Ola","40","Neutral","","C+","C"
"C","","Moondrop Nekocake","50","Neutral","","C+","C"
"C","","TFZ 2S","50","V-shaped","Generic V-shape tuning with middling technicalities.","C+","C"
"C","","TFZ Exclusive 1","50","V-shaped","Generic V-shape tuning with middling technicalities.","C+","C"
"C","","TFZ Mylove","60","V-shaped","Generic V-shape tuning with middling technicalities.","C+","C"
"C","","Shozy Form 1.1","75","Warm neutral","Relaxing, non-fatiguing listen with minor cutbacks in detailing.","C+","C"
"C","","Whizzer HE01","80","V-shaped","A pretty well-done V-shaped tonality, though limited by its resolving ability.","C+","C"
"C","","FiiO FH1","90","V-shaped","Surprisingly better tuned than its successor. Sparkly but non-sibilant treble with good bass response.","C+","C"
"C","","Monoprice Monolith M-TWE","100","V-shaped","Feels like an attempt on a Harman-ish response, but ends up in an odd V-shape instead.","C+","C"
"C","","TFZ 4S","100","V-shaped","Generic V-shape tuning with middling technicalities.","C+","C"
"C","","TFZ Exclusive 5","100","V-shaped","Generic V-shape tuning with middling technicalities.","C+","C"
"C","","Nuarl NT100","100","V-shaped","Generic V-shaped tuning that doesn't stand out technically from other similar IEMs.","C+","C"
"C","","Nuarl NT110","120","V-shaped","Similar to the NT100.","C+","C"
"C","","VSonic VS7","120","Warm","A less fatiguing, less technical version of its predecessor.","C+","C"
"C","","BGVP DMG","140","Bassy","Decent tonal balance though bass response is not up to par.","C+","C"
"C","","Focal Sphear","150","Mild V-shape","Good timbre, good bass and well-balanced tuning.","C+","C"
"C","","Sony WF-XB700","150","U-shaped","Very intense U-shaped signature leaning towards the bass. A little too imbalanced, but not the worst.","C+","C"
"C","","Simgot EN700 Pro","150","V-shaped","Generic V-shape tuning with middling technicalities.","C+","C"
"C","","Shozy Form 1.4","200","Warm neutral","Very similar to the Form 1.1 in both tone and technicalities.","C+","C"
"C","","Audio Technica ATH-SPORT7TW","200","U-shaped","Clean bass and decent midrange tonality, though comes with strident treble.","C+","C"
"C","","VSonic Ares","200","V-shaped","The true ""GR07 Bass Edition"", but not necessarily in a positive direction.","C+","C"
"C","","BQEYZ Autumn","200","Variable","","C+","C"
"C","","Symphonium Audio Aurora","220","Warm neutral","Solid tuning, though average in technicalities.","C+","C"
"C","","iBasso IT03w","260","Bright V-shape","Its sibilant and sharp treble is a tough trait to endure.","C+","C"
"C","","NocturnaL Gorham","350","V-shaped","Somewhat well-tuned with no errant peaks or dips, though limited by its resolution.","C+","C"
"C","","Shozy B2","450","Warm","Bass bleeds into the mids though treble somewhat balances it out.","C+","C"
"C","","Clear Tune Monitors CT-200","500","Neutral","Fairly decent neutral tuning if not for the odd roll-off on both extremities.","C+","C"
"C","","Kinera Odin","800","Neutral","Sounds like a rather basic tuning and a resolution not fitting of its driver count.","C+","C"
"C","","Custom Art Harmony 8.2","1300","Warm","Smooth and easy signature. No fatigue whatsoever. The definition of a lounging IEM.","C+","C"
"C","","Rhapsodio Infinity Mk2","3600","Warm","Nothing exceptional in either tonality or technical performance.","C+","C"
"C","","Stax SR-001 Mk1 w/ CES-A1","Discont.","Neutral","Sounds surprisingly dull and undetailed for a ""true"" electrostatic.","C+","C"
"C","","Acoustune HS2000MX “SHO-笙-“","2000","Bright","","D","A"
"C","","Moondrop SSR","40","Bright neutral","Probably as close as one can get to ""true DF"", though it's extremely shouty as a result.","C-","B-"
"C","","Muse HiFi Power","200","Bright V-shape","","C-","B-"
"C","","Hifiman RE2000 Pro","350","V-shaped","","C-","B-"
"C","","Fearless S10 Genie","700","Neutral","Sounds like an attempt at DF-neutral gone wrong. Tonally evokes a sense of ""uncanny valley"".","C-","B-"
"C","","Fearless HyperS 12BA","900","Neutral","Similar if not identical to the S10 Genie.","C-","B-"
"C","","Stealthsonics U9","1100","Neutral","An otherwise capable hybrid caught out by nasally and odd midrange.","C-","B-"
"C","","Campfire Vega","1300","V-shaped","Powerful bass, sharp treble and muffled midrange.","C-","B-"
"C","","JH Audio Angie","1400","Warm V-shape","Somewhat mid-centric though in various strange ways. Treble issues not as serious as its brothers.","C-","B-"
"C","","Empire Ears Phantom","1800","Warm","Heavy, rich and decadent. Way too coloured and ultimately a one-trick pony.","C-","B-"
"C","","JH Audio x L-Acoustics Contour XO","1950","Variable","Not as much of a downsloping response as your average JH IEM, but treble issues are further exacerbated.","C-","B-"
"C","","Hifiman RE2000","2000","Mild V-shape","Lively sound with great technicalities and substandard tonality.","C-","B-"
"C","","JH Audio Layla","2725","Variable","Suppressed upper mids and odd treble tuning. Decent technicalities.","C-","B-"
"C","","FitEar Private C435","Discont.","Dark","Quirky tuning with barely any treble extension. Not the most natural IEM.","C-","B-"
"C","","KBEar F1","40","Warm neutral","Fairly normal ""single BA tuning"", nothing exceptional nor terrible.","B-","C-"
"C","","TRI x HBB Kai","80","Dark neutral","","B-","C-"
"C","","INAIR M360","140","V-shaped","A weird cross between an earbud and an IEM. Interesting sound though nothing special performance-wise.","B-","C-"
"C","","Fender Ten 5","1200","Neutral with bass boost","Probably Fender's best IEM. Well-tuned but lacking in resolution.","B-","C-"
"C","","VSonic GR01","Discont.","Neutral","Dead-flat on FR and also dead-flat in imaging and dynamics.","B-","C-"
"C","","Acoustune HS1503","400","V-shaped","Shrill, odd timbre and way too intense for normal listening.","D+","B"
"C","","QKZ AK6","10","V-shaped","","C","C"
"C","","QKZ VK4","20","V-shaped","Stealth-revised. Latest version is just another KZ-type signature.","C","C"
"C","","BLON BL01","23","V-shaped","Generic V-shape tuning with middling technicalities.","C","C"
"C","","Tiandirenhe TD1","25","V-shaped","Generic V-shaped DD with alright midrange tonality and technicalities.","C","C"
"C","","TFZ Ti Galaxy","30","V-shaped","Generic V-shape tuning with middling technicalities.","C","C"
"C","","Soundmagic E11","40","Mild U-shape","A little suppressed in the upper mids but somewhat balanced out by a midtreble emphasis.","C","C"
"C","","BLON BL-Max","40","V-shaped","","C","C"
"C","","Advanced S2000","50","V-shaped","Generic V-shape tuning with middling technicalities.","C","C"
"C","","BGVP DS1 Pro","50","V-shaped","Generic V-shape tuning with middling technicalities.","C","C"
"C","","Satolex Tubomi DH298-A1Bk","50","V-shaped","Generic V-shape tuning with middling technicalities.","C","C"
"C","","Tripowin TC-01","50","V-shaped","Generic V-shape tuning with middling technicalities.","C","C"
"C","","TRN V90","50","V-shaped","Generic V-shape tuning with middling technicalities.","C","C"
"C","","Zero Audio Carbo Basso ZH-DX210-CB","50","V-shaped","Generic V-shape tuning with middling technicalities.","C","C"
"C","","Edifier TWS1","50","V-shaped","Decent bass response, subpar treble, overall passable.","C","C"
"C","","MEE M6 Pro","60","V-shaped","Generic V-shape tuning with middling technicalities.","C","C"
"C","","TFZ Exclusive 3","60","V-shaped","Generic V-shape tuning with middling technicalities.","C","C"
"C","","ikko OH2","60",""Balanced"","","C","C"
"C","","Meze 12 Classics","70","V-shaped","Generic V-shape tuning with middling technicalities.","C","C"
"C","","FiiO FD1","70","V-shaped","Generic V-shape tuning with middling technicalities.","C","C"
"C","","KBEar TRI I4","70","V-shaped","Generic V-shape tuning with middling technicalities.","C","C"
"C","","Whizzer A15","70","Warm U-shape","Slightly bloated, slightly sharp, not a great combination.","C","C"
"C","","CatEar Mia","80","Bassy","Generic V-shape tuning with middling technicalities.","C","C"
"C","","FiiO FH1S","80","V-shaped","Generic V-shape tuning with middling technicalities.","C","C"
"C","","TFZ 5S","80","V-shaped","Warm and somewhat slow in transients. Good timbre, average tuning.","C","C"
"C","","BLON BL-A8 Prometheus","85","Warm V-shape","","C","C"
"C","","iBasso IT00","90","V-shaped","Basically a IT01.","C","C"
"C","","Simgot EN700","100","Bright V-shape","Good clarity and energetic signature.","C","C"
"C","","RHA MA750","100","Mild V-shape","Somewhat shouty with a conservative bass boost.","C","C"
"C","","Massdrop x NuForce EDC3","100","Neutral","Well tuned, though not the most technical nor the most natural sounding.","C","C"
"C","","RHA TrueConnect","100","U-shaped","Goes too far with the bass boost and treble can get a little too hot sometimes.","C","C"
"C","","Satolex Tumuri DH303-A1","100","V-shaped","Generic V-shape tuning with middling technicalities.","C","C"
"C","","TFZ King","100","V-shaped","Better tuned than the 5S with a little extra treble which improves clarity and overall staging.","C","C"
"C","","Zero Audio Duoza ZH-DWX10","100","Warm V-shape","A bit too far with the lower-mid emphasis. Some sibilance is noted.","C","C"
"C","","iBasso IT01","110","V-shaped","Nothing really stands out as ""excellent"" to me, but it does a lot of things well and little wrong.","C","C"
"C","","Shuoer H27","110","V-shaped","Generic V-shape tuning with middling technicalities.","C","C"
"C","","Tipsy Dunmer","120","Bassy","Bass bleeds into the mids. The bassier of the Dunmer twins.","C","C"
"C","","iBasso IT01X","120","V-shaped","","C","C"
"C","","Satolex Tubomi DH302-A1Bs","130","V-shaped","Generic V-shape tuning with middling technicalities.","C","C"
"C","","Tin HiFi T5","130","V-shaped","Generic V-shape tuning with middling technicalities.","C","C"
"C","","Kinera IDUN","140","Warm neutral","WARNING: wide unit variation noted. Varies between ""weird V-shape"" and ""trying to be neutral"".","C","C"
"C","","LG Tone Free","150","U-shaped","Sub-bass boosted with a slight downsloping bias. Not the worst in terms of TWS.","C","C"
"C","","TFZ Tequila 1","150","V-shaped","Generic V-shape tuning with middling technicalities.","C","C"
"C","","BGVP DMS","150","Warm","Somewhat downsloping response but lacking that last bit of treble air.","C","C"
"C","","Fatfreq Musician","150","Warm neutral","","C","C"
"C","","Nuarl NT01","150","Warm V-shape","Generic V-shaped tuning with not much clarity or detailing capability.","C","C"
"C","","Symphonium Mirage","170","Warm","Attempted neutral tuning that dies after the mids.","C","C"
"C","","AVIOT TE-D01b/TE-D01d","177","V-shaped","Standard V-shaped siganture with passable transients.","C","C"
"C","","Fearless Start","180","V-shaped","Typical chifi V-shaped sound, nothing much to report on.","C","C"
"C","","Dynamic Motion DM200H","180","V-shaped","Generic V-shaped hybrid without any special traits.","C","C"
"C","","TFZ Secret Garden","200","V-shaped","Decent bass response and peaky treble, not much to say.","C","C"
"C","","Tipsy Dunmer Pro","200","Bright V-shape","Rather forward treble and gets intense real fast.","C","C"
"C","","Audio Technica ATH-ANC300TW","200","V-shaped","Weirdly bloated, weirdly sibilant, not the best presentation.","C","C"
"C","","Peacock Audio P1","200","V-shaped","Generic V-shape tuning with middling technicalities.","C","C"
"C","","RHA T20i","200","V-shaped","Generic V-shape tuning with middling technicalities.","C","C"
"C","","Satolex Tubomi DH310-A1SS","200","V-shaped","Generic V-shape tuning with middling technicalities.","C","C"
"C","","TFZ Balance 2M","200","V-shaped","Generic V-shape tuning with middling technicalities.","C","C"
"C","","Campfire Satsuma","200","Warm","Basically a rehashed Comet in a negative profile fit.","C","C"
"C","","Campfire Comet","200","Warm","Rolled-off at the top end, warm and bassy single-BA sound reminiscent of Final's offerings.","C","C"
"C","","NF Audio NF2u","200","Warm neutral","Fairly balanced tonality, lacking treble extension and resolution.","C","C"
"C","","MEE Pinnacle P1","200","Warm V-shape","Upper midrange emphasis with soft, warm bass. Nice for mainstream listening.","C","C"
"C","","Unknown Custom UCD-2","220","Warm V-shape","A common 2-driver signature with passable resolution.","C","C"
"C","","Technics EAH-AZ70W","250","U-shaped","Sounds a bit all over the place. Weird lower-mid hole, sharp treble, no clear direction of what's going on.","C","C"
"C","","Stealthsonics U2","250","V-shaped","Sharp, emphasised treble and boosted bass, sounds more mainstream than audiophile.","C","C"
"C","","Creative Aurvana Trio","250","Warm","Surprising lack of BA timbre, but still rather average in technicalities.","C","C"
"C","","AAW A3H (2019)","290","V-shaped","Emphasised midbass and upper mids. Generic hybrid.","C","C"
"C","","TRN BAX","300","V-shaped","","C","C"
"C","","Audiosense T800","300","V-shaped","Generic tuning that's nothing special in terms of tonal accuracy nor technicalities.","C","C"
"C","","Sony XBA-300","300","V-shaped","Generic V-shape tuning with middling technicalities.","C","C"
"C","","Oriveti New Primacy","300","Warm neutral","Rather balanced, almost neutral hybrid. All rounder.","C","C"
"C","","Kinera Hodur","300","V-shaped","","C","C"
"C","","Rose BR5 Mk2","305","Neutral","Not a bad IEM, though plagued by BA timbre. Not the most technical but it does the job when called for it.","C","C"
"C","","Alclair Versa","350","Warm V-shape","No further comments; fairly standard warm-ish signature with middling technicalities.","C","C"
"C","","JVC HA-FW01","380","Dark","Very heavy and very dark sounding IEM whose signature marrs technical ability slightly.","C","C"
"C","","Fearless Tequila","400","Neutral","Low dynamics, no treble extension, boring tuning.","C","C"
"C","","QoA Mojito","400","Neutral","Average tuning, average technicalities.","C","C"
"C","","Audio Technica ATH-E70","400","Neutral with bass boost","Clean and clear sound with a slight warm tilt without losing treble sparkle.","C","C"
"C","","Elysian Eros","400","Warm","Typical ""dual driver"" sound. Not very impressive.","C","C"
"C","","Eartech Triple Driver","450","Warm","Standard lower-mid focused signature with almost the bare minimum of treble required to balance it all out.","C","C"
"C","","Azla 01R Mk2","500","V-shaped","Generic V-shape tuning with middling technicalities.","C","C"
"C","","Noble Savanna","500","Bright neutral","Fairly balanced tuning if not for a rather distracting treble spike.","C","C"
"C","","Jomo x Pantheon Percussion P3","500","V-shaped","Generic V-shape tuning with middling technicalities.","C","C"
"C","","JH Michelle","500","Warm","Still sounds typically ""JH"" with a slightly V tuning, with slower transients and a non-fatiguing signature.","C","C"
"C","","Campfire Lyra II","700","V-shaped","Campfire's take on a V-shaped dynamic sound. Wouldn't call it exceptional.","C","C"
"C","","Empire Ears Bravado Mk2","800","Bassy","Very recessed and unfocused mids with poor bass control.","C","C"
"C","","ACS Encore","1130","Neutral","","C","C"
"C","","FitEar Air 2/Titan","1700","Warm V-shape","Generic hybrid sound. Doesn't really perform up to par either.","C","C"
"C","","Fostex TE100","1800","Warm neutral","A little boring and dead in dynamics. Not fun but not really reference either. Average.","C","C"
"C","","FitEar Air 2","2050","Warm V-shape","Similar if not identical to the FitEar Titan.","C","C"
"C","","Noble Sultan","2900","V-shaped","Somewhat generic tuning, poor technicalities, lacking treble extension, overpriced.","C","C"
"C","","Onkyo E900","Discont.","V-shaped","Sharp and fatiguing, needs a bit more refinement up top.","C","C"
"C","","Kinera IDUN Deluxe","Discont.","Neutral","Doesn't sound too different from the original, though it depends on which unit you get...","C","C"
"C","","Atomic Floyd SuperDarts","Discont.","U-shaped","Focused and sharp treble response with a fairly well-controlled bass response.","C","C"
"C","","Ultimate Ears Triple Fi 10 ""TF10""","Discont.","Warm","Decent tonality and timbre. Not as detailed as the new kids on the block but has the fundamentals down.","C","C"
"C","","Custom Art Ei.3","Discont.","Mild V-shape","Oddly tuned upper mids, underwhelming detailing, mediocre imaging.","C","C"
"C","","AAW W100","Discont.","V-shaped","Bassy and has that typical ""chifi DD"" sound.","C","C"
"C","","Earsonics SM3","Discont.","Warm","Non-fatiguing, relaxing listen. ""Normal"".","C","C"
"C","","Sony XBA-40","Discont.","V-shaped","General downsloping response with an odd upper midrange tuning.","C","C"
"C-","","Gold Planar GL20","150","Warm","The usual ""open-backed planar IEM"" sound of ""wonk"".","D-","A+"
"C-","","Lypertek PurePlay Z7","90",""Balanced"","","C-","C+"
"C-","","AZLA Orta","130","V-shaped","Uneven mids, peaky treble, not a great listen.","C-","C+"
"C-","","Jabra Elite 75t","180","U-shaped","Overdone sub-bass response, sharp treble, thin midrange.","C-","C+"
"C-","","BGVP DM6","200","Warm V-shape","Warm tilt in tone, decent detail retrieval though definition is a little too smoothed over.","C-","C+"
"C-","","FiiO FA7","300","Warm","Boring, overly warm tuning that lacks detailing.","C-","C+"
"C-","","Earsonics ES3","400","U-shaped","Typical Earsonics weirdness, though bass is well-controlled.","C-","C+"
"C-","","Audio Technica ATH-IM03","450","Warm V-shape","Decently technical but ruined by its sibilant treble.","C-","C+"
"C-","","InEar StageDiver SD-4","600","Warm V-shape","Needs more upper mids. Weird tonality caused by a mid-scoop.","C-","C+"
"C-","","Shozy Black Hole Mini","650","Warm V-shape","The bass roll-off issue of the original is somewhat fixed, though at the cost of everything else.","C-","C+"
"C-","","Final Audio Heaven 8","700","Warm","Unique ""Final single BA"" sound; coloured mids, one-note treble and a more downsloping response.","C-","C+"
"C-","","Noble Dulce Bass","700","Warm V-shape","A little bloated with the barest amount of treble required to balance the lower mids out.","C-","C+"
"C-","","Eternal Melody EM-5H","750","Dark","Just a worse EM-5 in every way. Odd midrange and no treble extension to speak of.","C-","C+"
"C-","","Tralucent 1 Plus 2.3","2100","Warm V-shape","Bloated, oddly recessed mids, and not all that technical either.","C-","C+"
"C-","","MMR Thummim","4500","V-shaped","More resolving than the Homunculus, but also comes with bass bloat.","C-","C+"
"C-","","VSonic VC02","Discont.","Warm U-shape","Severe upper-mid depression with sibilant treble.","C-","C+"
"C-","","Acoustune HS1003","Discont.","V-shaped","Intensely V-shaped resulting in thinned-out, recessed mids.","C-","C+"
"C-","","Final Audio FI-DO6SS ANT20","Discont.","Warm","Unique ""Final single BA"" sound; coloured mids, one-note treble and a more downsloping response.","C-","C+"
"C-","","Eternal Melody EM-6W","?","Warm","A slight improvement over the EM-6 but still has issues with mid-bass bloat.","C-","C+"
"C-","","Tin HiFI T1","36","Warm","Could use some more high frequency response. Seems like squandered potential.","C+","C-"
"C-","","Advanced M4","40","V-shaped","Generic V-shape tuning with middling technicalities.","C+","C-"
"C-","","KBEar Neon","50","Neutral","","C+","C-"
"C-","","Alpha&Delta D6","95","Bright","Well balanced bright response. Good detail and doesn't sound odd in any place.","C+","C-"
"C-","","Tin HiFi P1","170","Warm neutral","One of the rare few IEM-style planars with proper tonal balance without EQ, but lacking detail retrieval.","C+","C-"
"C-","","HUM TT","500","Neutral","A misguided attempt at neutrality with virtually no treble extension.","C+","C-"
"C-","","Ultimate Ears UE5 Pro","600","Warm","Dead dynamics, overly warm and congested.","C+","C-"
"C-","","FitEar EST","1300","Warm","Smooth and relaxing listen, though definition is not its strong suit.","C+","C-"
"C-","","Westone W80","1500","Warm neutral","Nicely balanced, intimate and slightly dry. Perhaps the least Westone-sounding Westone.","D","B+"
"C-","","Meze Rai Solo","200","V-shaped","Very wonky upper-midrange tuning that's also shouty at the same time.","D+","B-"
"C-","","Custom Art FIBAE 3","625","Mid-centric","A clarity-focused IEM. Weak in staging, perhaps too thin on the note weight.","D+","B-"
"C-","","Earsonics Velvet","850","U-shaped","Lower-mid recession pushed too far with your usual Earsonics weirdness.","D+","B-"
"C-","","FitEar Private 223","1030","Bright","Sharp and fatiguing presentation. Treble really needs taming in this one.","D+","B-"
"C-","","FitEar Private 222","1050","Bright V-shape","Sharp, almost piercing treble with surprisingly little air extension.","D+","B-"
"C-","","Dita Truth Brass","Discont.","Warm V-shape","Very nice tonal characteristics with good bass, though nothing special technically.","D+","B-"
"C-","","Acoustune HS1001","Discont.","V-shaped","Very very deep V-shape resulting in recessed mids, bloated bass and piercing highs.","D+","B-"
"C-","","Tipsy Aurora","80","Warm neutral","Very well-tuned, but not technical at all.","B-","D+"
"C-","","JH Audio Lola","1600","Variable","Noticeable upper-mid recession and seems to work only with distortion guitars. Everything else is a wash.","D","B"
